country,country_id,min_year,max_year,long,lat,writer_total_year,writer_total_cumulative,writer_1,writer_1_gender,writer_1_birth,writer_1_popup,writer_1_language_1,writer_1_language_2,writer_1_language_3,writer_1_language_4,writer_1_languages,writer_1_role_1,writer_1_role_2,writer_1_role_3,writer_1_role_4,writer_1_role_5,writer_2,writer_2_gender,writer_2_birth,writer_2_popup,writer_2_language_1,writer_2_language_2,writer_2_language_3,writer_2_language_4,writer_2_languages,writer_2_role_1,writer_2_role_2,writer_2_role_3,writer_2_role_4,writer_2_role_5,writer_3,writer_3_gender,writer_3_birth,writer_3_popup,writer_3_language_1,writer_3_language_2,writer_3_language_3,writer_3_language_4,writer_3_languages,writer_3_role_1,writer_3_role_2,writer_3_role_3,writer_3_role_4,writer_3_role_5,writer_4,writer_4_gender,writer_4_birth,writer_4_popup,writer_4_language_1,writer_4_language_2,writer_4_language_3,writer_4_language_4,writer_4_languages,writer_4_role_1,writer_4_role_2,writer_4_role_3,writer_4_role_4,writer_4_role_5,writer_5,writer_5_gender,writer_5_birth,writer_5_popup,writer_5_language_1,writer_5_language_2,writer_5_language_3,writer_5_language_4,writer_5_languages,writer_5_role_1,writer_5_role_2,writer_5_role_3,writer_5_role_4,writer_5_role_5,popup_year,popup_cumulative,subregion,region_un,monolingual_writer_total_year,multilingual_writer_total_year,monolingual_writer_total_cumulative,multilingual_writer_total_cumulative,writerPop
Afghanistan,1901,1977,2005,66.00473366,33.83523073,1,1,Lutfurahman JONAID ,Male,1948,<a href = 'http://iwp.uiowa.edu/node/1246'>Lutfurahman JONAID </a>(1977)<br />,English,#N/A,#N/A,#N/A,1,playwright,poet,translator,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Afghanistan&nbsp;(1)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1246'>Lutfurahman JONAID </a>(1977)<br />,<b>Afghanistan&nbsp;(1)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1246'>Lutfurahman JONAID </a>(1977)<br />,Southern Asia,Asia,1,0,1,0,
Afghanistan,1901,2006,2011,66.00473366,33.83523073,1,2,Partaw NADERI ,Male,1953,<a href = 'http://iwp.uiowa.edu/node/1490'>Partaw NADERI </a>(2006)<br />,Dari,#N/A,#N/A,#N/A,1,critic,journalist,poet,scholar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Afghanistan&nbsp;(1)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1490'>Partaw NADERI </a>(2006)<br />,<b>Afghanistan&nbsp;(2)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1246'>Lutfurahman JONAID </a>(1977)<br /><a href = 'http://iwp.uiowa.edu/node/1490'>Partaw NADERI </a>(2006)<br />,Southern Asia,Asia,1,0,2,0,
Afghanistan,1901,2012,2013,66.00473366,33.83523073,1,3,Mohibullah ZEGHAM ,Male,\N,<a href = 'http://iwp.uiowa.edu/node/3153'>Mohibullah ZEGHAM </a>(2012)<br />,Pashto,#N/A,#N/A,#N/A,1,fiction writer,translator,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Afghanistan&nbsp;(1)</b><hr /><a href = 'http://iwp.uiowa.edu/node/3153'>Mohibullah ZEGHAM </a>(2012)<br />,<b>Afghanistan&nbsp;(3)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1246'>Lutfurahman JONAID </a>(1977)<br /><a href = 'http://iwp.uiowa.edu/node/1490'>Partaw NADERI </a>(2006)<br /><a href = 'http://iwp.uiowa.edu/node/3153'>Mohibullah ZEGHAM </a>(2012)<br />,Southern Asia,Asia,1,0,3,0,
Afghanistan,1901,2014,2014,66.00473366,33.83523073,1,4,Mujib MEHRDAD ,Male,1984,<a href = 'http://iwp.uiowa.edu/node/3975'>Mujib MEHRDAD </a>(2014)<br />,Persian,#N/A,#N/A,#N/A,1,playwright,poet,translator,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Afghanistan&nbsp;(1)</b><hr /><a href = 'http://iwp.uiowa.edu/node/3975'>Mujib MEHRDAD </a>(2014)<br />,<b>Afghanistan&nbsp;(4)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1246'>Lutfurahman JONAID </a>(1977)<br /><a href = 'http://iwp.uiowa.edu/node/1490'>Partaw NADERI </a>(2006)<br /><a href = 'http://iwp.uiowa.edu/node/3153'>Mohibullah ZEGHAM </a>(2012)<br /><a href = 'http://iwp.uiowa.edu/node/3975'>Mujib MEHRDAD </a>(2014)<br />,Southern Asia,Asia,1,0,4,0,
Afghanistan,1901,2015,2020,66.00473366,33.83523073,1,5,Homeira QADARI ,Female,1980,<a href = 'http://iwp.uiowa.edu/node/4299'>Homeira QADARI </a>(2015)<br />,Dari,#N/A,#N/A,#N/A,1,fiction writer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Afghanistan&nbsp;(1)</b><hr /><a href = 'http://iwp.uiowa.edu/node/4299'>Homeira QADARI </a>(2015)<br />,<b>Afghanistan&nbsp;(5)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1246'>Lutfurahman JONAID </a>(1977)<br /><a href = 'http://iwp.uiowa.edu/node/1490'>Partaw NADERI </a>(2006)<br /><a href = 'http://iwp.uiowa.edu/node/3153'>Mohibullah ZEGHAM </a>(2012)<br /><a href = 'http://iwp.uiowa.edu/node/3975'>Mujib MEHRDAD </a>(2014)<br /><a href = 'http://iwp.uiowa.edu/node/4299'>Homeira QADARI </a>(2015)<br />,Southern Asia,Asia,1,0,5,0,
Albania,1865,1992,1995,20.04983396,41.14244989,2,2,Fatos LUBONJA ,Male,1951,<a href = 'http://iwp.uiowa.edu/node/1388'>Fatos LUBONJA </a>(1992)<br />,Albanian,#N/A,#N/A,#N/A,1,fiction writer,#N/A,#N/A,#N/A,#N/A,Uk BUCPAPA ,Male,1958,<a href = 'http://iwp.uiowa.edu/node/898'>Uk BUCPAPA </a>(1992)<br />,Albanian,#N/A,#N/A,#N/A,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Albania&nbsp;(2)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1388'>Fatos LUBONJA </a>(1992)<br /><a href = 'http://iwp.uiowa.edu/node/898'>Uk BUCPAPA </a>(1992)<br />,<b>Albania&nbsp;(2)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1388'>Fatos LUBONJA </a>(1992)<br /><a href = 'http://iwp.uiowa.edu/node/898'>Uk BUCPAPA </a>(1992)<br />,Southern Europe,Europe,2,0,2,0,
Albania,1865,1996,1998,20.04983396,41.14244989,1,3,Lindita ARAPI ,Female,1972,<a href = 'http://iwp.uiowa.edu/node/764'>Lindita ARAPI </a>(1996)<br />,Albanian,#N/A,#N/A,#N/A,1,poet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Albania&nbsp;(1)</b><hr /><a href = 'http://iwp.uiowa.edu/node/764'>Lindita ARAPI </a>(1996)<br />,<b>Albania&nbsp;(3)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1388'>Fatos LUBONJA </a>(1992)<br /><a href = 'http://iwp.uiowa.edu/node/898'>Uk BUCPAPA </a>(1992)<br /><a href = 'http://iwp.uiowa.edu/node/764'>Lindita ARAPI </a>(1996)<br />,Southern Europe,Europe,1,0,3,0,
Albania,1865,1999,2005,20.04983396,41.14244989,1,4,Luljeta LLESHANAKU ,Female,1968,<a href = 'http://iwp.uiowa.edu/node/1378'>Luljeta LLESHANAKU </a>(1999)<br />,Albanian,#N/A,#N/A,#N/A,1,poet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Albania&nbsp;(1)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1378'>Luljeta LLESHANAKU </a>(1999)<br />,<b>Albania&nbsp;(4)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1388'>Fatos LUBONJA </a>(1992)<br /><a href = 'http://iwp.uiowa.edu/node/898'>Uk BUCPAPA </a>(1992)<br /><a href = 'http://iwp.uiowa.edu/node/764'>Lindita ARAPI </a>(1996)<br /><a href = 'http://iwp.uiowa.edu/node/1378'>Luljeta LLESHANAKU </a>(1999)<br />,Southern Europe,Europe,1,0,4,0,
Albania,1865,2006,2020,20.04983396,41.14244989,1,5,Gentian ÇOÇOLI,Male,1972,<a href = 'http://iwp.uiowa.edu/node/2353'>Gentian ÇOÇOLI </a>(2006)<br />,Albanian,#N/A,#N/A,#N/A,1,poet,translator,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Albania&nbsp;(1)</b><hr /><a href = 'http://iwp.uiowa.edu/node/2353'>Gentian ÇOÇOLI </a>(2006)<br />,<b>Albania&nbsp;(5)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1388'>Fatos LUBONJA </a>(1992)<br /><a href = 'http://iwp.uiowa.edu/node/898'>Uk BUCPAPA </a>(1992)<br /><a href = 'http://iwp.uiowa.edu/node/764'>Lindita ARAPI </a>(1996)<br /><a href = 'http://iwp.uiowa.edu/node/1378'>Luljeta LLESHANAKU </a>(1999)<br /><a href = 'http://iwp.uiowa.edu/node/2353'>Gentian ÇOÇOLI </a>(2006)<br />,Southern Europe,Europe,1,0,5,0,
Algeria,2030,1988,2016,2.617323009,28.15893849,1,1,Mohamed MAGANI ,Male,1948,<a href = 'http://iwp.uiowa.edu/node/1405'>Mohamed MAGANI </a>(1988)<br />,Arabic,French,#N/A,#N/A,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Algeria&nbsp;(1)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1405'>Mohamed MAGANI </a>(1988)<br />,<b>Algeria&nbsp;(1)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1405'>Mohamed MAGANI </a>(1988)<br />,Northern Africa,Africa,0,1,0,1,
Algeria,2030,2017,2017,2.617323009,28.15893849,1,2,Hajar BALI,Female,1961,<a href = 'https://iwp.uiowa.edu/writers/hajar-bali'>Hajar BALI  </a>(2017)<br />,Arabic,French,#N/A,#N/A,2,fiction writer,playwright,poet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Algeria&nbsp;(1)</b><hr /><a href = 'https://iwp.uiowa.edu/writers/hajar-bali'>Hajar BALI  </a>(2017)<br />,<b>Algeria&nbsp;(2)</b><hr /><a href = 'http://iwp.uiowa.edu/node/1405'>Mohamed MAGANI </a>(1988)<br /><a href = 'https://iwp.uiowa.edu/writers/hajar-bali'>Hajar BALI  </a>(2017)<br />,Northern Africa,Africa,0,1,0,2,
